context	question	pred_answer	label	pred_verify
In Marxian analysis, capitalist firms increasingly substitute capital equipment for labor inputs (workers) under competitive pressure to reduce costs and maximize profits	What do capitalist firms substitute equipment for in a Marxian analysis?	labor inputs (workers)	0	1
The other major method of producing O
2 gas involves passing a stream of clean, dry air through one bed of a pair of identical zeolite molecular sieves, which absorbs the nitrogen and delivers a gas stream that is 90% to 93% O
2	How much is the sieve method of gas production used?	90% to 93% O
2	0	1
 With Harper's vision in mind, the University of Chicago also became one of the 14 founding members of the Association of American Universities, an international organization of leading research universities, in 1900	In what year did the U of C become one of 7 founding members of the Association of Chicago Universities?	1900	1	1
Montpellier was among the most important of the 66 "villes de sûreté" that the Edict of 1598 granted to the Huguenots	What were the towns granted to the Huguenots in 1598 collectively called?	villes de sûreté	0	0
None of the original treaties establishing the European Union mention protection for fundamental rights	How many original treaties establishing the EU protected fundamental rights?	None	0	0
 Colonialism is seen to be the architect deciding how to start dominating areas and then imperialism can be seen as creating the idea behind conquest cooperating with colonialism	 What is colonialism's antithesis?	conquest	1	0
 Radical Islamist organizations like al-Qaeda and the Egyptian Islamic Jihad, and groups such as the Taliban, entirely reject democracy, often declaring as kuffar those Muslims who support it (see takfirism), as well as calling for violent/offensive jihad or urging and conducting attacks on a religious basis	 What do radical Islamist organizations accept entirely?	democracy	1	1
 If graph isomorphism is NP-complete, the polynomial time hierarchy collapses to its second level	What class is most commonly not ascribed to the graph isomorphism problem in spite of definitive determination?	polynomial time hierarchy collapses to its second level. Since it is widely believed that the polynomial hierarchy	0	1
 Access can be via a dial-up terminal to a PAD, or, by linking a permanent X	What types of access did Telstra provide? 	a dial-up terminal to a PAD, or, by linking a permanent X.25 node to the network	1	1
 Sessions of the IPCC Bureau, workshops, expert and lead authors meetings are by invitation only	Which IPCC sessions are open to everyone?	IPCC Bureau, workshops, expert and lead authors	1	1
4% of all households); the average family size was 3	What was the average family size with no wife present?	3.62	1	1
 His objective was to punish the Miami people of Pickawillany for not following Céloron's orders to cease trading with the British	Was wasn't the plan for Langlades mission?	not following Céloron's orders to cease trading with the British	1	1
 The Upper Rhine had been part of the areal of the late Hallstatt culture since the 6th century BC, and by the 1st century BC, the areal of the La Tène culture covered almost its entire length, forming a contact zone with the Jastorf culture, i	What century was the Hallstatt culture discovered?	6th century BC	1	1
Thanks to numerous musical venues, including the Teatr Wielki, the Polish National Opera, the Chamber Opera, the National Philharmonic Hall and the National Theatre, as well as the Roma and Buffo music theatres and the Congress Hall in the Palace of Culture and Science, Warsaw hosts many events and festivals	What does Warsaw host many of?	events and festivals	0	1
Some Normans joined Turkish forces to aid in the destruction of the Armenians vassal-states of Sassoun and Taron in far eastern Anatolia	Who joined Norman forces in the destruction of the Armenians?	Turkish forces	1	0
 Accepted general principles of European Union Law include fundamental rights (see human rights), proportionality, legal certainty, equality before the law and subsidiarity	What are some of the rejected general principles of European Union law?	fundamental rights (see human rights), proportionality, legal certainty, equality before the law and subsidiarity	1	0
