context	question	pred_answer	label	pred_verify
When finally Edward the Confessor returned from his father's refuge in 1041, at the invitation of his half-brother Harthacnut, he brought with him a Norman-educated mind	When did Edward return?	1041	0	1
Soon after the Normans began to enter Italy, they entered the Byzantine Empire and then Armenia, fighting against the Pechenegs, the Bulgars, and especially the Seljuk Turks	Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?	the Pechenegs, the Bulgars, and especially the Seljuk Turks	0	1
For the complexity classes defined in this way, it is desirable to prove that relaxing the requirements on (say) computation time indeed defines a bigger set of problems	What is not an example of a measurement within a complexity class that would create a bigger set of problems if the bounds were relaxed?	computation time	1	1
 The Anglo-Norman language became distinct from the Latin language, something that was the subject of some humour by Geoffrey Chaucer	Who made fun of the Latin language?	Geoffrey Chaucer	1	1
 Since the time taken on different inputs of the same size can be different, the worst-case time complexity T(n) is defined to be the maximum time taken over all inputs of size n	What term corresponds to the minimum measurement of the time across all functions of n?	worst-case time complexity	1	1
 It was commissioned by Odo, the Bishop of Bayeux and first Earl of Kent, employing natives from Kent who were learned in the Nordic traditions imported in the previous half century by the Danish Vikings	Who commissioned Danish vikings to create the Bayeux Tapestry?	Odo	1	1
 The Normans were famed for their martial spirit and eventually for their Christian piety, becoming exponents of the Catholic orthodoxy into which they assimilated	Who was famed for their Christian spirit?	The Normans	1	1
 After some searching, it was discovered that the boat carrying his sister and his fiancée Berengaria was anchored on the south coast of Cyprus, together with the wrecks of several other ships, including the treasure ship	Who was Richard's fiancee?	Berengaria	0	1
 Malcolm submitted, paid homage to William and surrendered his son Duncan as a hostage, beginning a series of arguments as to whether the Scottish Crown owed allegiance to the King of England	Who did the Scotish king take hostage?	his son Duncan	1	1
 A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem	What field of computer science analyzes the resource requirements of a specific algorithm isolated unto itself within a given problem?	computational complexity theory	0	1
 Because of this, Ethelred fled to Normandy in 1013, when he was forced from his kingdom by Sweyn Forkbeard	Who kicked Ethelred out?	Sweyn Forkbeard	0	1
 In 1064, during the War of Barbastro, William of Montreuil led the papal army and took a huge booty	Who was in charge of the papal army in the War of Barbastro?	William of Montreuil	0	1
 A non-deterministic Turing machine is a deterministic Turing machine with an added feature of non-determinism, which allows a Turing machine to have multiple possible future actions from a given state	What type of Turing machine is capable of multiple actions and extends into a variety of computational paths?	non-deterministic	0	1
When considering computational problems, a problem instance is a string over an alphabet	What is a string over a Greek number when considering a computational problem?	string over an alphabet. Usually, the alphabet is taken to be the binary alphabet	1	1
 The input string for a computational problem is referred to as a problem instance, and should not be confused with the problem itself	What is the name given to the input string of a computational solution?	a problem instance	1	1
 Although time and space are the most well-known complexity resources, any complexity measure can be viewed as a computational resource	Communication complexity is an example of what type of measure?	complexity	0	1
Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines	What machine does not define BQP or QMA?	quantum Turing machines	1	1
 This relationship eventually produced closer ties of blood through the marriage of Emma, sister of Duke Richard II of Normandy, and King Ethelred II of England	Who did Emma Marry?	King Ethelred II of England	0	1
 If we allow polynomial variations in running time, Cobham-Edmonds thesis states that "the time complexities in any two reasonable and general models of computation are polynomially related" (Goldreich 2008, Chapter 1	What thesis specifies that a polynomial relationship exists within time complexities in a computational model? 	Cobham-Edmonds	0	1
